method,run,source_artifact,candidate_index,name,spec,perturbation_type,perturbation_params,observed_cf_rate,predicted_cf_rate,observed_cf_failures,observed_episodes,observed_success_rate,boundary_abs_distance,boundary_score,in_boundary_band,training_role
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,0,prop_s032_blur,prop_s032_blur:blur:1.605,blur,"{""radius"": 1.605}",0.6666666666666666,1.0,2,3,0.3333333333333333,0.16666666666666663,0.6666666666666667,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,1,prop_s013_blur,prop_s013_blur:blur:1.829,blur,"{""radius"": 1.829}",1.0,1.0,3,3,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,2,prop_s014_bright,prop_s014_bright:brightness:0.773,brightness,"{""factor"": 0.773}",0.0,0.5,0,3,1.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,3,prop_s052_bright,prop_s052_bright:brightness:0.740,brightness,"{""factor"": 0.74}",0.0,0.5,0,3,1.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,4,prop_s043_occ,prop_s043_occ:occlusion:0.282,occlusion,"{""fraction"": 0.282}",0.6666666666666666,1.0,2,3,0.3333333333333333,0.16666666666666663,0.6666666666666667,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,5,prop_s054_occ,prop_s054_occ:occlusion:0.412,occlusion,"{""fraction"": 0.412}",0.6666666666666666,1.0,2,3,0.3333333333333333,0.16666666666666663,0.6666666666666667,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,6,prop_s041_shift,prop_s041_shift:shift:-0.200:0.001,shift,"{""dx_fraction"": -0.2, ""dy_fraction"": 0.001}",1.0,1.0,3,3,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed3_lp2_h160,7,prop_s045_shift,prop_s045_shift:shift:-0.084:0.074,shift,"{""dx_fraction"": -0.084, ""dy_fraction"": 0.074}",0.6666666666666666,1.0,2,3,0.3333333333333333,0.16666666666666663,0.6666666666666667,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,0,prop_s044_blur,prop_s044_blur:blur:1.648,blur,"{""radius"": 1.648}",0.75,1.0,3,4,0.25,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,1,prop_s017_blur,prop_s017_blur:blur:1.673,blur,"{""radius"": 1.673}",0.75,1.0,3,4,0.25,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,2,prop_s018_bright,prop_s018_bright:brightness:0.786,brightness,"{""factor"": 0.786}",0.25,0.5,1,4,0.75,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,3,prop_s057_bright,prop_s057_bright:brightness:0.761,brightness,"{""factor"": 0.761}",0.25,0.5,1,4,0.75,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,4,prop_s025_occ,prop_s025_occ:occlusion:0.356,occlusion,"{""fraction"": 0.356}",0.75,1.0,3,4,0.25,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,5,prop_s053_occ,prop_s053_occ:occlusion:0.374,occlusion,"{""fraction"": 0.374}",0.75,1.0,3,4,0.25,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,6,prop_s037_shift,prop_s037_shift:shift:-0.132:0.037,shift,"{""dx_fraction"": -0.132, ""dy_fraction"": 0.037}",0.5,1.0,2,4,0.5,0.0,1.0,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed4_lp2_h160,7,prop_s033_shift,prop_s033_shift:shift:0.032:-0.097,shift,"{""dx_fraction"": 0.032, ""dy_fraction"": -0.097}",0.25,1.0,1,4,0.75,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,0,prop_s060_blur,prop_s060_blur:blur:1.577,blur,"{""radius"": 1.577}",0.3333333333333333,1.0,1,3,0.6666666666666666,0.16666666666666669,0.6666666666666666,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,1,prop_s033_blur,prop_s033_blur:blur:1.628,blur,"{""radius"": 1.628}",0.6666666666666666,1.0,2,3,0.3333333333333333,0.16666666666666663,0.6666666666666667,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,2,prop_s002_bright,prop_s002_bright:brightness:0.786,brightness,"{""factor"": 0.786}",0.0,0.5,0,3,1.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,3,prop_s042_bright,prop_s042_bright:brightness:0.764,brightness,"{""factor"": 0.764}",0.0,0.5,0,3,1.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,4,prop_s053_occ,prop_s053_occ:occlusion:0.265,occlusion,"{""fraction"": 0.265}",0.6666666666666666,1.0,2,3,0.3333333333333333,0.16666666666666663,0.6666666666666667,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,5,prop_s016_occ,prop_s016_occ:occlusion:0.327,occlusion,"{""fraction"": 0.327}",1.0,1.0,3,3,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,6,prop_s059_shift,prop_s059_shift:shift:0.148:0.031,shift,"{""dx_fraction"": 0.148, ""dy_fraction"": 0.031}",0.6666666666666666,1.0,2,3,0.3333333333333333,0.16666666666666663,0.6666666666666667,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed5_lp2_h160,7,prop_s018_shift,prop_s018_shift:shift:-0.054:0.100,shift,"{""dx_fraction"": -0.054, ""dy_fraction"": 0.1}",0.0,1.0,0,3,1.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,0,rand_s000_blur,rand_s000_blur:blur:0.727,blur,"{""radius"": 0.727}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,1,rand_s008_blur,rand_s008_blur:blur:1.433,blur,"{""radius"": 1.433}",0.75,,3,4,0.25,0.25,0.5,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,2,rand_s002_bright,rand_s002_bright:brightness:0.509,brightness,"{""factor"": 0.509}",0.25,,1,4,0.75,0.25,0.5,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,3,rand_s011_bright,rand_s011_bright:brightness:0.524,brightness,"{""factor"": 0.524}",0.0,,0,4,1.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,4,rand_s001_occ,rand_s001_occ:occlusion:0.282,occlusion,"{""fraction"": 0.282}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,5,rand_s004_occ,rand_s004_occ:occlusion:0.360,occlusion,"{""fraction"": 0.36}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,6,rand_s003_shift,rand_s003_shift:shift:0.118:-0.020,shift,"{""dx_fraction"": 0.118, ""dy_fraction"": -0.02}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed1b_skip_lp2_h160,7,rand_s006_shift,rand_s006_shift:shift:0.077:-0.000,shift,"{""dx_fraction"": 0.077, ""dy_fraction"": -0.0}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,0,rand_s003_blur,rand_s003_blur:blur:0.251,blur,"{""radius"": 0.251}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,1,rand_s005_blur,rand_s005_blur:blur:2.506,blur,"{""radius"": 2.506}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,2,rand_s000_bright,rand_s000_bright:brightness:0.570,brightness,"{""factor"": 0.57}",0.0,,0,4,1.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,3,rand_s002_bright,rand_s002_bright:brightness:0.592,brightness,"{""factor"": 0.592}",0.0,,0,4,1.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,4,rand_s004_occ,rand_s004_occ:occlusion:0.415,occlusion,"{""fraction"": 0.415}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,5,rand_s009_occ,rand_s009_occ:occlusion:0.550,occlusion,"{""fraction"": 0.55}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,6,rand_s001_shift,rand_s001_shift:shift:0.067:-0.027,shift,"{""dx_fraction"": 0.067, ""dy_fraction"": -0.027}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed2b_skip_lp2_h160,7,rand_s006_shift,rand_s006_shift:shift:0.099:0.082,shift,"{""dx_fraction"": 0.099, ""dy_fraction"": 0.082}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,0,rand_s001_blur,rand_s001_blur:blur:2.102,blur,"{""radius"": 2.102}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,1,rand_s003_blur,rand_s003_blur:blur:1.384,blur,"{""radius"": 1.384}",0.75,,3,4,0.25,0.25,0.5,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,2,rand_s006_bright,rand_s006_bright:brightness:0.820,brightness,"{""factor"": 0.82}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,3,rand_s007_bright,rand_s007_bright:brightness:0.671,brightness,"{""factor"": 0.671}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,4,rand_s016_occ,rand_s016_occ:occlusion:0.100,occlusion,"{""fraction"": 0.1}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,5,rand_s018_occ,rand_s018_occ:occlusion:0.374,occlusion,"{""fraction"": 0.374}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,6,rand_s000_shift,rand_s000_shift:shift:-0.029:0.006,shift,"{""dx_fraction"": -0.029, ""dy_fraction"": 0.006}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed3b_skip_lp2_h160,7,rand_s002_shift,rand_s002_shift:shift:0.045:0.068,shift,"{""dx_fraction"": 0.045, ""dy_fraction"": 0.068}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,0,rand_s000_blur,rand_s000_blur:blur:2.670,blur,"{""radius"": 2.67}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,1,rand_s010_blur,rand_s010_blur:blur:1.645,blur,"{""radius"": 1.645}",0.75,,3,4,0.25,0.25,0.5,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,2,rand_s007_bright,rand_s007_bright:brightness:0.258,brightness,"{""factor"": 0.258}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,3,rand_s020_bright,rand_s020_bright:brightness:0.794,brightness,"{""factor"": 0.794}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,4,rand_s005_occ,rand_s005_occ:occlusion:0.248,occlusion,"{""fraction"": 0.248}",0.75,,3,4,0.25,0.25,0.5,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,5,rand_s012_occ,rand_s012_occ:occlusion:0.370,occlusion,"{""fraction"": 0.37}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,6,rand_s001_shift,rand_s001_shift:shift:0.046:-0.084,shift,"{""dx_fraction"": 0.046, ""dy_fraction"": -0.084}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed4b_skip_lp2_h160,7,rand_s002_shift,rand_s002_shift:shift:-0.100:-0.031,shift,"{""dx_fraction"": -0.1, ""dy_fraction"": -0.031}",0.5,,2,4,0.5,0.0,1.0,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,0,rand_s003_blur,rand_s003_blur:blur:2.625,blur,"{""radius"": 2.625}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,1,rand_s010_blur,rand_s010_blur:blur:1.572,blur,"{""radius"": 1.572}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
random_balanced,libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,2,rand_s009_bright,rand_s009_bright:brightness:0.669,brightness,"{""factor"": 0.669}",0.25,,1,4,0.75,0.25,0.5,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,3,rand_s017_bright,rand_s017_bright:brightness:0.841,brightness,"{""factor"": 0.841}",0.25,,1,4,0.75,0.25,0.5,True,boundary_candidate
random_balanced,libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_random_balanced_seed5b_skip_lp2_h160,4,rand_s007_occ,rand_s007_occ:occlusion:0.398,occlusion,"{""fraction"": 0.398}",1.0,,4,4,0.0,0.5,0.0,False,coverage_candidate
